name,salary,department_id
Karel Roberti,84697,4
Micki Pineaux,68899,6
Kelsi Redwall,160667,5
Fawn Ewbank,125567,4
Cristal Pruce,181371,9
Kissee Pratte,144648,3
Byram Skey,123980,7
Milzie Wudeland,70273,5
Corrinne Ben,188560,4
Harry Kippin,126399,2
Gwendolin Halle,194170,9
Gregory Dahl,129410,8
Lindy Aleshkov,90890,4
Nanice Leitche,133498,1
Giustino Fetterplace,126215,3
Delcina Wort,109379,6
Roby Curwood,162592,10
Suzanna Sire,71347,10
Sim Fludder,100170,3
Shauna Boissier,55527,12
Kissee Aartsen,116218,2
Silvain Aldie,156119,12
